City,Date,Temperature_Max,Temperature_Min,Apparent_Temperature_Max,Apparent_Temperature_Min,Precipitation,Rainfall,Weather_code,WindSpeed,WindGusts,WindDirection,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Month,Season
Delhi,28-01-2018,21.1,6.4,19.2,4.1,0,0,2,13.1,25.6,303,165,324,249,342,3.15,285,300,1,Winter
Delhi,29-01-2018,22,7.2,19.9,5.1,0,0,2,14.5,25.9,295,166.1,326.16,250.66,344.28,3.17,286.9,302,1,Winter
Delhi,30-01-2018,24.4,9.8,21.2,7.3,0,0,3,22.9,38.2,292,148.5,291.6,224.1,307.8,2.84,256.5,270,1,Winter
Delhi,31-01-2018,24.3,12.6,20.9,10.1,0,0,3,23.4,39.6,293,134.2,263.52,202.52,278.16,2.56,231.8,244,1,Winter
Delhi,01-02-2018,25.6,10.7,24.1,8.8,0,0,0,13.4,25.6,300,150.7,295.92,227.42,312.36,2.88,260.3,274,2,Winter
Delhi,02-02-2018,24.5,10.6,23.9,9.6,0,0,2,10.4,20.2,312,161.15,316.44,243.19,334.02,3.08,278.35,293,2,Winter
Delhi,03-02-2018,23.2,10.6,20.6,9.2,0,0,3,13.4,25.9,334,133.65,262.44,201.69,277.02,2.55,230.85,243,2,Winter
Delhi,04-02-2018,22.3,8.4,19.1,5.9,0,0,0,14.8,28.8,304,140.8,276.48,212.48,291.84,2.69,243.2,256,2,Winter
Delhi,05-02-2018,22.2,7.3,19.6,5.2,0,0,3,11,21.6,318,160.05,314.28,241.53,331.74,3.06,276.45,291,2,Winter
Delhi,06-02-2018,22.5,11.7,18.5,8.5,0,0,3,17.2,31,318,157.85,309.96,238.21,327.18,3.01,272.65,287,2,Winter
Delhi,07-02-2018,22.5,8.3,18.9,5.1,0,0,3,17.1,32,306,143.55,281.88,216.63,297.54,2.74,247.95,261,2,Winter
Delhi,08-02-2018,22.2,6.5,19.5,4.3,0,0,3,10.9,24.1,316,169.4,332.64,255.64,351.12,3.23,292.6,308,2,Winter
Delhi,09-02-2018,23.1,7.5,20.3,5.4,0,0,0,12.7,25.2,319,184.25,361.8,278.05,381.9,3.52,318.25,335,2,Winter
Delhi,10-02-2018,24.1,8.4,22,5.9,0,0,3,10.9,24.1,32,187.55,368.28,283.03,388.74,3.58,323.95,341,2,Winter
Delhi,11-02-2018,24.3,9.7,21,7.7,2.2,2.2,55,16.8,32.8,114,167.2,328.32,252.32,346.56,3.19,288.8,304,2,Winter
Delhi,12-02-2018,21.7,13.2,20.5,11.1,3.5,3.5,61,22.9,38.5,104,97.9,192.24,147.74,202.92,1.87,169.1,178,2,Winter
Delhi,13-02-2018,21.2,10.2,22.2,9.2,0,0,3,13.9,20.9,4,105.05,206.28,158.53,217.74,2.01,181.45,191,2,Winter
Delhi,14-02-2018,21.6,9.9,18.3,8.1,0,0,2,23,38.5,305,102.85,201.96,155.21,213.18,1.96,177.65,187,2,Winter
Delhi,15-02-2018,23,11.6,20.9,8.9,0,0,2,20.9,36.7,299,102.85,201.96,155.21,213.18,1.96,177.65,187,2,Winter
Delhi,16-02-2018,24.6,11.4,22.8,10.2,0,0,3,18.2,32.8,295,129.25,253.8,195.05,267.9,2.47,223.25,235,2,Winter
Delhi,17-02-2018,25,12.1,23.4,10.7,0,0,3,16.9,31,298,140.8,276.48,212.48,291.84,2.69,243.2,256,2,Winter
Delhi,18-02-2018,25,11.3,23.6,9.7,0,0,3,12.5,25.9,311,141.35,277.56,213.31,292.98,2.7,244.15,257,2,Winter
Delhi,19-02-2018,25.6,9.7,23.6,8.1,0,0,3,10,22,302,161.7,317.52,244.02,335.16,3.09,279.3,294,2,Winter
Delhi,20-02-2018,27.1,11.5,25.7,10.3,0,0,3,12.6,26.3,313,162.8,319.68,245.68,337.44,3.11,281.2,296,2,Winter
Delhi,21-02-2018,29.6,15.8,29.1,15.1,0,0,3,10.7,20.5,315,169.4,332.64,255.64,351.12,3.23,292.6,308,2,Winter
Delhi,22-02-2018,30.1,14.2,29.2,14.5,0,0,3,11.4,24.5,320,165,324,249,342,3.15,285,300,2,Winter
Delhi,23-02-2018,29.8,16.2,29.3,17.5,0,0,3,10.7,22.7,21,166.1,326.16,250.66,344.28,3.17,286.9,302,2,Winter
Delhi,24-02-2018,28.5,17.5,30.6,17.8,2.5,2.5,53,14.5,28.1,89,176,345.6,265.6,364.8,3.36,304,320,2,Winter
Delhi,25-02-2018,27.6,16.4,28.5,17.4,0.2,0.2,51,16.3,28.1,337,146.3,287.28,220.78,303.24,2.79,252.7,266,2,Winter
Delhi,26-02-2018,27.1,15.3,24.5,14.4,0,0,2,23.6,40,296,85.8,168.48,129.48,177.84,1.64,148.2,156,2,Winter
Delhi,27-02-2018,29,15.3,28.4,14.3,0,0,3,17.6,31.7,305,88,172.8,132.8,182.4,1.68,152,160,2,Winter
Delhi,28-02-2018,29.3,15.1,29.6,15.8,0,0,3,13,27.4,319,149.6,293.76,225.76,310.08,2.86,258.4,272,2,Winter
Delhi,01-03-2018,29.8,15.3,29,15.5,0,0,3,15.1,27.7,326,141.35,277.56,213.31,292.98,2.7,244.15,257,3,Summer
Delhi,02-03-2018,30.8,16.3,30.6,16.6,0.5,0.5,53,14.8,35.3,322,143,280.8,215.8,296.4,2.73,247,260,3,Summer
Delhi,03-03-2018,30.9,16.4,31.1,15.8,0.2,0.2,51,13.4,27.7,302,111.65,219.24,168.49,231.42,2.13,192.85,203,3,Summer
Delhi,04-03-2018,27.9,17.1,28.1,16.2,1.8,1.8,61,19.6,36,319,97.9,192.24,147.74,202.92,1.87,169.1,178,3,Summer
Delhi,05-03-2018,27.1,14.4,25.7,14.1,0,0,0,17.6,32,317,94.6,185.76,142.76,196.08,1.81,163.4,172,3,Summer
Delhi,06-03-2018,27.7,14.1,25.2,12.4,0,0,3,20.4,36.7,304,91.85,180.36,138.61,190.38,1.75,158.65,167,3,Summer
Delhi,07-03-2018,28.5,13.9,26.3,12.7,0,0,0,18.5,34.2,305,101.75,199.8,153.55,210.9,1.94,175.75,185,3,Summer
Delhi,08-03-2018,29.5,14.7,30,14.5,0,0,1,10.7,17.3,9,134.75,264.6,203.35,279.3,2.57,232.75,245,3,Summer
Delhi,09-03-2018,31.3,16.5,30.1,16.6,0.5,0.5,53,15.9,29.9,326,154,302.4,232.4,319.2,2.94,266,280,3,Summer
Delhi,10-03-2018,31.2,16.1,29.5,14.8,0,0,3,18.6,32,307,93.5,183.6,141.1,193.8,1.79,161.5,170,3,Summer
Delhi,11-03-2018,31.1,17,30.2,16.4,0,0,0,14.5,28.8,307,93.5,183.6,141.1,193.8,1.79,161.5,170,3,Summer
Delhi,12-03-2018,32.5,16.6,31.2,16.2,0,0,0,16.5,30.6,300,117.7,231.12,177.62,243.96,2.25,203.3,214,3,Summer
Delhi,13-03-2018,34.4,17.4,33.1,17.3,0,0,1,14.2,28.8,265,119.35,234.36,180.11,247.38,2.28,206.15,217,3,Summer
Delhi,14-03-2018,33,19.9,32.2,18.2,0,0,1,13.7,20.5,173,146.85,288.36,221.61,304.38,2.8,253.65,267,3,Summer
Delhi,15-03-2018,31.7,18.8,30.5,16.4,0,0,3,18.8,34.9,280,163.35,320.76,246.51,338.58,3.12,282.15,297,3,Summer
Delhi,16-03-2018,30.1,16.4,28.3,16,0,0,2,24.2,42.5,324,140.8,276.48,212.48,291.84,2.69,243.2,256,3,Summer
Delhi,17-03-2018,29.4,15.6,26.3,13.4,0,0,0,20.7,37.4,311,102.3,200.88,154.38,212.04,1.95,176.7,186,3,Summer
Delhi,18-03-2018,31,15.7,28.2,14.1,0,0,3,17.5,33.1,316,92.95,182.52,140.27,192.66,1.77,160.55,169,3,Summer
Delhi,19-03-2018,33.1,14.9,30.7,13.8,0,0,3,14.3,28.1,304,95.15,186.84,143.59,197.22,1.82,164.35,173,3,Summer
Delhi,20-03-2018,33,16.7,33.3,16.3,0.3,0.3,51,13.5,22.3,314,119.35,234.36,180.11,247.38,2.28,206.15,217,3,Summer
Delhi,21-03-2018,30.6,19.1,32.3,19.4,1.6,1.6,61,23.1,41,356,158.95,312.12,239.87,329.46,3.03,274.55,289,3,Summer
Delhi,22-03-2018,29.5,17.4,30.5,17.6,0.6,0.6,51,15.6,27.4,352,102.3,200.88,154.38,212.04,1.95,176.7,186,3,Summer
Delhi,23-03-2018,29.1,17.1,28.9,16.7,0,0,1,13.2,28.1,306,83.05,163.08,125.33,172.14,1.59,143.45,151,3,Summer
Delhi,24-03-2018,31.4,17.6,30.6,17.5,0,0,0,16.4,33.1,318,96.25,189,145.25,199.5,1.84,166.25,175,3,Summer
Delhi,25-03-2018,32.9,18.6,30.6,17.1,0,0,1,22.1,39.6,308,107.25,210.6,161.85,222.3,2.05,185.25,195,3,Summer
Delhi,26-03-2018,34.2,18.4,32.5,17.5,0,0,0,21.7,37.8,302,100.65,197.64,151.89,208.62,1.92,173.85,183,3,Summer
Delhi,27-03-2018,35.6,17.7,34.1,17.4,0,0,0,14.7,29.2,303,126.5,248.4,190.9,262.2,2.42,218.5,230,3,Summer
Delhi,28-03-2018,35.7,21.4,35.4,20.8,0,0,0,16.6,29.5,319,140.25,275.4,211.65,290.7,2.68,242.25,255,3,Summer
Delhi,29-03-2018,35.8,19.4,33.7,18.6,0,0,3,25.7,43.6,305,117.15,230.04,176.79,242.82,2.24,202.35,213,3,Summer
Delhi,30-03-2018,34.3,20.1,32.4,17.4,0,0,0,23.3,41.4,298,119.9,235.44,180.94,248.52,2.29,207.1,218,3,Summer
Delhi,31-03-2018,33.8,18.8,34,18.2,0,0,0,16.1,31,109,140.8,276.48,212.48,291.84,2.69,243.2,256,3,Summer
Delhi,01-04-2018,33.2,20.7,33.6,19.9,0,0,0,15.6,31,106,107.25,210.6,161.85,222.3,2.05,185.25,195,4,Summer
Delhi,02-04-2018,35.3,20.8,36,21.3,0,0,3,13.9,29.2,118,120.45,236.52,181.77,249.66,2.3,208.05,219,4,Summer
Delhi,03-04-2018,36.4,22.6,38.3,23.4,4,4,63,22.4,38.5,119,113.85,223.56,171.81,235.98,2.17,196.65,207,4,Summer
Delhi,04-04-2018,37.5,22.2,39.3,23.6,0,0,3,19.6,46.8,42,111.65,219.24,168.49,231.42,2.13,192.85,203,4,Summer
Delhi,05-04-2018,36.5,22.5,39,23.9,1.7,1.7,61,13,34.9,24,159.5,313.2,240.7,330.6,3.05,275.5,290,4,Summer
Delhi,06-04-2018,34.7,22.2,35.5,24,3.7,3.7,63,12.7,32.8,102,114.4,224.64,172.64,237.12,2.18,197.6,208,4,Summer
Delhi,07-04-2018,33.5,21,35.5,22.9,2.5,2.5,61,16.2,30.6,108,78.65,154.44,118.69,163.02,1.5,135.85,143,4,Summer
Delhi,08-04-2018,33.3,21.4,34.5,22.6,3.2,3.2,63,19.1,37.4,110,77.55,152.28,117.03,160.74,1.48,133.95,141,4,Summer
Delhi,09-04-2018,32.9,21.7,34.2,22.1,3.3,3.3,55,20.3,33.8,95,66,129.6,99.6,136.8,1.26,114,120,4,Summer
Delhi,10-04-2018,33.6,21.1,36.1,23.3,7.7,7.7,63,12.4,30.2,143,126.5,248.4,190.9,262.2,2.42,218.5,230,4,Summer
Delhi,11-04-2018,31.7,21.5,33.3,23.5,2.7,2.7,61,23.8,41,74,77.55,152.28,117.03,160.74,1.48,133.95,141,4,Summer
Delhi,12-04-2018,31.9,20.1,34.4,22.5,0,0,3,11,23,347,54.45,106.92,82.17,112.86,1.04,94.05,99,4,Summer
Delhi,13-04-2018,33.3,19.1,31.8,19.1,0,0,3,12.8,27.4,329,103.4,203.04,156.04,214.32,1.97,178.6,188,4,Summer
Delhi,14-04-2018,35.3,19.3,34,17.9,0,0,3,18.2,46.1,323,119.35,234.36,180.11,247.38,2.28,206.15,217,4,Summer
Delhi,15-04-2018,36.8,21.2,36.5,20.9,0,0,3,14.1,30.2,323,123.2,241.92,185.92,255.36,2.35,212.8,224,4,Summer
Delhi,16-04-2018,36.9,23.1,37.7,22.4,4.8,4.8,63,19,33.5,130,156.75,307.8,236.55,324.9,2.99,270.75,285,4,Summer
Delhi,17-04-2018,36.7,22.5,37.4,23.3,0.2,0.2,51,15.1,29.5,346,134.2,263.52,202.52,278.16,2.56,231.8,244,4,Summer
Delhi,18-04-2018,37,22.3,34.3,20.3,0,0,0,26.1,45.4,312,125.4,246.24,189.24,259.92,2.39,216.6,228,4,Summer
Delhi,19-04-2018,37.6,22.9,36.4,21.1,0,0,3,22.2,45.7,318,134.2,263.52,202.52,278.16,2.56,231.8,244,4,Summer
Delhi,20-04-2018,39.2,22.1,34.2,21.6,1.2,1.2,55,30,52.9,197,135.3,265.68,204.18,280.44,2.58,233.7,246,4,Summer
Delhi,21-04-2018,34.3,19.8,32.7,18.9,0,0,0,17.1,31.7,311,195.8,384.48,295.48,405.84,3.74,338.2,356,4,Summer
Delhi,22-04-2018,34.5,20.9,30.9,18.6,0,0,0,21.9,39.6,315,116.05,227.88,175.13,240.54,2.22,200.45,211,4,Summer
Delhi,23-04-2018,35.9,20.9,32.8,18,0,0,0,20.2,37.1,304,88,172.8,132.8,182.4,1.68,152,160,4,Summer
Delhi,24-04-2018,38.3,21,35.3,18.2,0,0,0,19.8,35.6,290,139.7,274.32,210.82,289.56,2.67,241.3,254,4,Summer
Delhi,25-04-2018,40.6,22.4,38.3,20.2,0,0,3,15.6,32,267,146.3,287.28,220.78,303.24,2.79,252.7,266,4,Summer
Delhi,26-04-2018,41,24.9,40.8,21.2,0,0,0,14.7,23.8,346,172.15,338.04,259.79,356.82,3.29,297.35,313,4,Summer
Delhi,27-04-2018,38.6,25.9,40.4,25.2,2,2,61,19.8,36,110,170.5,334.8,257.3,353.4,3.26,294.5,310,4,Summer
Delhi,28-04-2018,38.2,25.1,39.7,25.6,3.5,3.5,63,28,45.7,109,165.55,325.08,249.83,343.14,3.16,285.95,301,4,Summer
Delhi,29-04-2018,38.5,23.2,41.3,25.7,0,0,3,24.5,42.8,87,136.4,267.84,205.84,282.72,2.6,235.6,248,4,Summer
Delhi,30-04-2018,39.3,24.6,41,25.6,2.8,2.8,63,20.4,61.2,116,114.95,225.72,173.47,238.26,2.19,198.55,209,4,Summer
Delhi,01-05-2018,37.6,24.5,39.2,25.5,10.8,10.8,65,26.6,44.3,111,97.35,191.16,146.91,201.78,1.86,168.15,177,5,Summer
Delhi,02-05-2018,36.3,24,38.5,24.8,4.9,4.9,63,23.7,65.9,116,84.15,165.24,126.99,174.42,1.61,145.35,153,5,Summer
Delhi,03-05-2018,34.2,23,36.2,24.8,0,0,3,24.4,39.6,113,88,172.8,132.8,182.4,1.68,152,160,5,Summer
Delhi,04-05-2018,34.2,24,37.3,26,0,0,3,23.9,40,101,76.45,150.12,115.37,158.46,1.46,132.05,139,5,Summer
Delhi,05-05-2018,36.4,23.8,39.9,27.1,0,0,3,14.5,28.1,23,95.15,186.84,143.59,197.22,1.82,164.35,173,5,Summer
Delhi,06-05-2018,38,24.9,37.7,26.3,0.6,0.6,53,19.7,33.8,1,147.95,290.52,223.27,306.66,2.82,255.55,269,5,Summer
Delhi,07-05-2018,36.9,22.9,38.6,24.7,0,0,2,20.5,36,354,116.05,227.88,175.13,240.54,2.22,200.45,211,5,Summer
Delhi,08-05-2018,33.8,23,34.2,23,5.7,5.7,63,18.3,41.8,302,114.4,224.64,172.64,237.12,2.18,197.6,208,5,Summer
Delhi,09-05-2018,35.2,20.7,36.5,22.2,0.3,0.3,51,19.5,40.3,359,89.65,176.04,135.29,185.82,1.71,154.85,163,5,Summer
Delhi,10-05-2018,37.9,21.4,37.8,20.7,0,0,0,15,29.2,305,104.5,205.2,157.7,216.6,2,180.5,190,5,Summer
Delhi,11-05-2018,40.5,23.9,40.6,24.2,0,0,3,16.1,31.7,314,140.8,276.48,212.48,291.84,2.69,243.2,256,5,Summer
Delhi,12-05-2018,40.7,27.3,42.7,28.1,1.4,1.4,53,28.8,43.9,108,167.2,328.32,252.32,346.56,3.19,288.8,304,5,Summer
Delhi,13-05-2018,36.7,24.9,39.2,24.3,4.9,4.9,61,31.9,61.9,92,118.25,232.2,178.45,245.1,2.26,204.25,215,5,Summer
Delhi,14-05-2018,36.7,22.6,39.5,24.6,1.1,1.1,55,14.4,23,95,71.5,140.4,107.9,148.2,1.37,123.5,130,5,Summer
Delhi,15-05-2018,37.5,24.6,40.5,26.9,0.8,0.8,53,14.8,28.4,95,90.2,177.12,136.12,186.96,1.72,155.8,164,5,Summer
Delhi,16-05-2018,39.1,24.8,40.3,27.6,0,0,2,20.6,35.6,289,104.5,205.2,157.7,216.6,2,180.5,190,5,Summer
Delhi,17-05-2018,40.4,26,40.5,25.8,0.1,0.1,51,16.3,32,312,133.65,262.44,201.69,277.02,2.55,230.85,243,5,Summer
Delhi,18-05-2018,39.4,26.3,39.1,27.4,0,0,2,17.1,28.1,28,123.75,243,186.75,256.5,2.36,213.75,225,5,Summer
Delhi,19-05-2018,39.2,25.7,41,26.1,0.2,0.2,51,14.4,29.5,245,133.1,261.36,200.86,275.88,2.54,229.9,242,5,Summer
Delhi,20-05-2018,40.4,26,39.4,24.7,0,0,2,16.3,31.3,320,109.45,214.92,165.17,226.86,2.09,189.05,199,5,Summer
Delhi,21-05-2018,41.4,26.1,38.5,23.4,0,0,0,16.8,32.8,336,100.65,197.64,151.89,208.62,1.92,173.85,183,5,Summer
Delhi,22-05-2018,43,28.2,41.8,25.1,0,0,0,16.6,32.8,327,116.6,228.96,175.96,241.68,2.23,201.4,212,5,Summer
Delhi,23-05-2018,42.5,28.2,42.4,26.7,0,0,1,24,44.3,43,165.55,325.08,249.83,343.14,3.16,285.95,301,5,Summer
Delhi,24-05-2018,41.9,27.7,40.1,27,0,0,2,13.7,29.2,359,138.6,272.16,209.16,287.28,2.65,239.4,252,5,Summer
Delhi,25-05-2018,42.5,26.1,40.4,26.5,0,0,2,18.1,33.1,293,138.05,271.08,208.33,286.14,2.64,238.45,251,5,Summer
Delhi,26-05-2018,43.3,26.9,41,24.6,0,0,0,14,29.2,305,129.25,253.8,195.05,267.9,2.47,223.25,235,5,Summer
Delhi,27-05-2018,43.3,26.6,40.4,25.2,0,0,2,18.4,35.3,237,152.35,299.16,229.91,315.78,2.91,263.15,277,5,Summer
Delhi,28-05-2018,42,27.4,42.8,28.6,0,0,1,13.3,27,90,151.25,297,228.25,313.5,2.89,261.25,275,5,Summer
Delhi,29-05-2018,41.7,27.4,42.8,26.9,0,0,3,23.7,51.8,118,156.75,307.8,236.55,324.9,2.99,270.75,285,5,Summer
Delhi,30-05-2018,40.8,27.5,42.9,29.3,2.9,2.9,63,34.2,61.6,117,154.55,303.48,233.23,320.34,2.95,266.95,281,5,Summer
Delhi,31-05-2018,41.6,27.2,44.1,31,0.2,0.2,51,17.7,34.9,111,114.4,224.64,172.64,237.12,2.18,197.6,208,5,Summer
Delhi,01-06-2018,41.2,29.1,43.8,31.4,3.1,3.1,63,29.5,48.6,106,108.9,213.84,164.34,225.72,2.08,188.1,198,6,Monsoon
Delhi,02-06-2018,39.2,27,41.6,29.2,0,0,0,20.9,36,105,95.15,186.84,143.59,197.22,1.82,164.35,173,6,Monsoon
Delhi,03-06-2018,37.2,28.1,41,30.8,0,0,1,18.9,34.2,101,95.7,187.92,144.42,198.36,1.83,165.3,174,6,Monsoon
Delhi,04-06-2018,40.3,29.7,41.8,32.5,0,0,2,22.4,39.6,116,100.65,197.64,151.89,208.62,1.92,173.85,183,6,Monsoon
Delhi,05-06-2018,39.3,31.1,42.4,33.8,1.5,1.5,55,25.3,43.2,107,92.95,182.52,140.27,192.66,1.77,160.55,169,6,Monsoon
Delhi,06-06-2018,38.4,29.6,42.7,32.8,0.3,0.3,51,22.1,38.2,98,74.8,146.88,112.88,155.04,1.43,129.2,136,6,Monsoon
Delhi,07-06-2018,40,28.6,43.7,33,0,0,2,16.8,26.6,99,90.2,177.12,136.12,186.96,1.72,155.8,164,6,Monsoon
Delhi,08-06-2018,40.1,31.2,44.2,35.2,0,0,3,24.5,38.9,115,98.45,193.32,148.57,204.06,1.88,170.05,179,6,Monsoon
Delhi,09-06-2018,37.2,27.5,41.8,33,17.9,17.9,65,23.1,40,117,69.85,137.16,105.41,144.78,1.33,120.65,127,6,Monsoon
Delhi,10-06-2018,36.2,26.9,42.2,32.3,1.5,1.5,55,14,28.4,300,86.9,170.64,131.14,180.12,1.66,150.1,158,6,Monsoon
Delhi,11-06-2018,40,28.2,42.2,34.2,0,0,2,19.9,36,298,100.65,197.64,151.89,208.62,1.92,173.85,183,6,Monsoon
Delhi,12-06-2018,42.9,28.5,43.6,30.5,0,0,2,22.3,41.4,282,162.8,319.68,245.68,337.44,3.11,281.2,296,6,Monsoon
Delhi,13-06-2018,41.3,31.6,42.2,33.1,0,0,1,26.3,46.1,267,244.75,480.6,369.35,507.3,4.67,422.75,445,6,Monsoon
Delhi,14-06-2018,41,31.4,41.6,31.9,0,0,1,26.3,44.6,257,237.05,465.48,357.73,491.34,4.53,409.45,431,6,Monsoon
Delhi,15-06-2018,39.5,32.3,40.5,31.1,0,0,2,28,43.2,264,245.85,482.76,371.01,509.58,4.69,424.65,447,6,Monsoon
Delhi,16-06-2018,39.5,31.7,41,32.8,0,0,3,20.8,36,272,202.95,398.52,306.27,420.66,3.87,350.55,369,6,Monsoon
Delhi,17-06-2018,34.9,28.7,38.5,32.4,0.3,0.3,51,17.2,40.7,13,158.95,312.12,239.87,329.46,3.03,274.55,289,6,Monsoon
Delhi,18-06-2018,36.3,27,39.3,31.8,0.3,0.3,51,14.5,47.5,305,94.05,184.68,141.93,194.94,1.8,162.45,171,6,Monsoon
Delhi,19-06-2018,38.9,26.5,41.5,30.2,0,0,1,18.1,33.8,318,66.55,130.68,100.43,137.94,1.27,114.95,121,6,Monsoon
Delhi,20-06-2018,40.4,30.1,43.4,35.9,0,0,1,13.2,27.4,356,97.35,191.16,146.91,201.78,1.86,168.15,177,6,Monsoon
Delhi,21-06-2018,41,30.8,43.8,34.9,0,0,3,14.3,27.7,328,124.3,244.08,187.58,257.64,2.37,214.7,226,6,Monsoon
Delhi,22-06-2018,42.1,31.8,45.2,37,0,0,1,15.8,31.3,26,129.8,254.88,195.88,269.04,2.48,224.2,236,6,Monsoon
Delhi,23-06-2018,41.2,31.3,43.3,34.7,0,0,3,20.9,40,340,119.9,235.44,180.94,248.52,2.29,207.1,218,6,Monsoon
Delhi,24-06-2018,40.9,31.5,42.4,34.6,0,0,3,16.7,32,301,100.65,197.64,151.89,208.62,1.92,173.85,183,6,Monsoon
Delhi,25-06-2018,41.3,31.5,42.3,32.7,0,0,2,18.4,36.7,288,105.6,207.36,159.36,218.88,2.02,182.4,192,6,Monsoon
Delhi,26-06-2018,35.9,29.8,40,33.4,0.4,0.4,51,18.3,28.4,264,60.5,118.8,91.3,125.4,1.16,104.5,110,6,Monsoon
Delhi,27-06-2018,34,26.1,39.1,31.4,26.3,26.3,63,15.8,28.8,91,51.15,100.44,77.19,106.02,0.98,88.35,93,6,Monsoon
Delhi,28-06-2018,33.2,25.8,37.5,29.9,15.5,15.5,63,23.5,47.2,99,41.8,82.08,63.08,86.64,0.8,72.2,76,6,Monsoon
Delhi,29-06-2018,33,25.9,38.5,29.5,2.7,2.7,53,26.5,41.8,113,39.6,77.76,59.76,82.08,0.76,68.4,72,6,Monsoon
Delhi,30-06-2018,33,26.7,39.9,31.3,4.4,4.4,61,15.1,24.1,138,52.8,103.68,79.68,109.44,1.01,91.2,96,6,Monsoon
